# Bulatović, R. R., Miodragović, G., & Bošković, M. S. (2016).
# Modified Krill Herd (MKH) algorithm and its application in dimensional
# synthesis of a four-bar linkage. Mechanism and Machine Theory, 95, 1–21.
# https://doi.org/10.1016/j.mechmachtheory.2015.08.004
7.03,5.99
6.95,5.45
6.77,5.03
6.4,4.6
5.91,4.03
5.43,3.56
4.93,2.94
4.67,2.6
4.38,2.2
4.04,1.67
3.76,1.22
3.76,1.97
3.76,2.78
3.76,3.56
3.76,4.34
3.76,4.91
3.76,5.47
3.8,5.98
4.07,6.4
4.53,6.75
5.07,6.85
5.05,6.84
5.89,6.83
6.41,6.8
6.92,6.58
